year,gdp_growth_yoy_pct,cpi_yoy_pct,usd_vnd_avg,policy_rate_pct,vn_10y_yield_pct,credit_growth_yoy_pct,m2_growth_yoy_pct,source_status
2010,6.42,9.21,19500,9.0,10.0,18.5,28.0,REAL_PUBLIC_BENCHMARK
2011,6.24,18.68,20600,14.0,12.0,14.4,12.0,REAL_PUBLIC_BENCHMARK
2012,5.25,9.09,20850,9.0,9.2,8.9,20.0,REAL_PUBLIC_BENCHMARK
2013,5.42,6.59,21050,7.0,8.3,12.5,18.0,REAL_PUBLIC_BENCHMARK
2014,5.98,4.09,21250,6.5,6.8,14.2,17.0,REAL_PUBLIC_BENCHMARK
2015,6.68,0.63,22450,6.5,6.2,17.3,16.2,REAL_PUBLIC_BENCHMARK
2016,6.21,2.67,22650,6.5,6.0,18.7,18.0,REAL_PUBLIC_BENCHMARK
2017,6.81,3.52,22750,6.25,5.2,18.2,16.0,REAL_PUBLIC_BENCHMARK
2018,7.08,3.54,23200,6.25,5.1,13.9,14.0,REAL_PUBLIC_BENCHMARK
2019,7.02,2.79,23230,6.0,4.8,13.7,13.5,REAL_PUBLIC_BENCHMARK
2020,2.91,3.22,23150,4.0,2.9,12.1,14.5,REAL_PUBLIC_BENCHMARK
2021,2.58,1.84,22800,4.0,2.1,13.6,10.5,REAL_PUBLIC_BENCHMARK
2022,8.02,3.15,23500,6.0,4.7,14.5,12.5,REAL_PUBLIC_BENCHMARK
2023,5.05,3.25,24300,4.5,2.6,13.7,10.0,REAL_PUBLIC_BENCHMARK
2024,7.09,3.63,24600,4.5,2.7,15.1,12.0,REAL_PUBLIC_BENCHMARK
2025,8.0,3.5,25100,4.5,3.6,15.8,13.0,FORECAST_SCENARIO_PLACEHOLDER
2026,6.8,4.0,25400,4.75,4.3,14.5,12.5,FORECAST_SCENARIO_PLACEHOLDER
