date,vnindex_close,usd_vnd_close,foreign_flow_bn_vnd,source_status
1/2/2018,964.67,22688,-196.3,ASSUMPTION_PLACEHOLDER_SERIES
1/3/2018,963.79,22680,1324.5,ASSUMPTION_PLACEHOLDER_SERIES
1/4/2018,981.59,22652,1019,ASSUMPTION_PLACEHOLDER_SERIES
1/5/2018,980.43,22670,-20.2,ASSUMPTION_PLACEHOLDER_SERIES
1/8/2018,968.14,22648,-439.5,ASSUMPTION_PLACEHOLDER_SERIES
1/9/2018,944.04,22703,-214.1,ASSUMPTION_PLACEHOLDER_SERIES
1/10/2018,948.24,22649,265,ASSUMPTION_PLACEHOLDER_SERIES
1/11/2018,944.25,22649,128.8,ASSUMPTION_PLACEHOLDER_SERIES
1/12/2018,947.3,22651,297.4,ASSUMPTION_PLACEHOLDER_SERIES
1/15/2018,955.91,22650,334.9,ASSUMPTION_PLACEHOLDER_SERIES
1/16/2018,962.16,22666,-261.8,ASSUMPTION_PLACEHOLDER_SERIES
1/17/2018,952,22722,-102.8,ASSUMPTION_PLACEHOLDER_SERIES
1/18/2018,973.47,22686,30.2,ASSUMPTION_PLACEHOLDER_SERIES
1/19/2018,974.35,22695,328.9,ASSUMPTION_PLACEHOLDER_SERIES
1/22/2018,954.53,22681,1088.7,ASSUMPTION_PLACEHOLDER_SERIES
1/23/2018,947.44,22672,-67.9,ASSUMPTION_PLACEHOLDER_SERIES
1/24/2018,942.69,22700,445.3,ASSUMPTION_PLACEHOLDER_SERIES
1/25/2018,944.35,22695,153.3,ASSUMPTION_PLACEHOLDER_SERIES
1/26/2018,940.02,22756,-387.5,ASSUMPTION_PLACEHOLDER_SERIES
1/29/2018,953.74,22747,-245.6,ASSUMPTION_PLACEHOLDER_SERIES
1/30/2018,928.54,22708,833.4,ASSUMPTION_PLACEHOLDER_SERIES
1/31/2018,936.61,22767,-572.4,ASSUMPTION_PLACEHOLDER_SERIES
2/1/2018,938.31,22719,-487.6,ASSUMPTION_PLACEHOLDER_SERIES
